n,m,Generator,Seed,0
150,3,Decreasingly Sorted Large Span Random Weights,3,123194878
150,3,Decreasingly Sorted Large Span Random Weights,4,144608858
150,3,Decreasingly Sorted Large Span Random Weights,5,122163728
150,3,Decreasingly Sorted Large Span Random Weights,6,107079749
150,3,Decreasingly Sorted Large Span Random Weights,7,137879219
150,3,Decreasingly Sorted Large Span Random Weights,8,121389830
150,3,Decreasingly Sorted Large Span Random Weights,9,132637304
150,4,+1 Increasing Weights,0,285456
150,4,+1 Increasing Weights,1,285456
150,4,+1 Increasing Weights,2,285456
150,4,+1 Increasing Weights,3,285456
150,4,+1 Increasing Weights,4,285456
150,4,+1 Increasing Weights,5,285456
150,4,+1 Increasing Weights,6,285456
150,4,+1 Increasing Weights,7,285456
150,4,+1 Increasing Weights,8,285456
150,4,+1 Increasing Weights,9,285456
150,4,-1 Decreasing Weights,0,144856
150,4,-1 Decreasing Weights,1,144856
150,4,-1 Decreasing Weights,2,144856
150,4,-1 Decreasing Weights,3,144856
150,4,-1 Decreasing Weights,4,144856
150,4,-1 Decreasing Weights,5,144856
150,4,-1 Decreasing Weights,6,144856
150,4,-1 Decreasing Weights,7,144856
150,4,-1 Decreasing Weights,8,144856
150,4,-1 Decreasing Weights,9,144856
150,4,Small Random Weights,0,137967
150,4,Small Random Weights,1,142850
150,4,Small Random Weights,2,157105
150,4,Small Random Weights,3,133889
150,4,Small Random Weights,4,140621
150,4,Small Random Weights,5,135742
150,4,Small Random Weights,6,149977
150,4,Small Random Weights,7,142227
150,4,Small Random Weights,8,142888
150,4,Small Random Weights,9,152505
150,4,Small Span Large Weights,0,29017735
150,4,Small Span Large Weights,1,29022474
150,4,Small Span Large Weights,2,29037009
150,4,Small Span Large Weights,3,29013685
150,4,Small Span Large Weights,4,29020263
150,4,Small Span Large Weights,5,29014965
150,4,Small Span Large Weights,6,29029537
150,4,Small Span Large Weights,7,29022014
150,4,Small Span Large Weights,8,29022540
150,4,Small Span Large Weights,9,29032099
150,4,Large Span Large Weights,0,1382558256
150,4,Large Span Large Weights,1,1415694395
150,4,Large Span Large Weights,2,1467652147
150,4,Large Span Large Weights,3,1374084185
150,4,Large Span Large Weights,4,1406265105
150,4,Large Span Large Weights,5,1445977206
150,4,Large Span Large Weights,6,1353647165
150,4,Large Span Large Weights,7,1488314100
150,4,Large Span Large Weights,8,1464413683
150,4,Large Span Large Weights,9,1526434959
150,4,"Random Half Low, then Half High Weights",0,2066264
150,4,"Random Half Low, then Half High Weights",1,2068541
150,4,"Random Half Low, then Half High Weights",2,2086941
150,4,"Random Half Low, then Half High Weights",3,2064268
150,4,"Random Half Low, then Half High Weights",4,2071838
150,4,"Random Half Low, then Half High Weights",5,2066772
150,4,"Random Half Low, then Half High Weights",6,2080308
150,4,"Random Half Low, then Half High Weights",7,2070220
150,4,"Random Half Low, then Half High Weights",8,2073130
150,4,"Random Half Low, then Half High Weights",9,2083387
150,4,"Random Half High, then Half Low Weights",0,806192
150,4,"Random Half High, then Half Low Weights",1,810628
150,4,"Random Half High, then Half Low Weights",2,825434
150,4,"Random Half High, then Half Low Weights",3,803359
150,4,"Random Half High, then Half Low Weights",4,808293
150,4,"Random Half High, then Half Low Weights",5,803349
150,4,"Random Half High, then Half Low Weights",6,818677
150,4,"Random Half High, then Half Low Weights",7,810300
150,4,"Random Half High, then Half Low Weights",8,811585
150,4,"Random Half High, then Half Low Weights",9,820371
150,4,Increasingly Sorted Large Span Random Weights,0,204496662
150,4,Increasingly Sorted Large Span Random Weights,1,205496939
150,4,Increasingly Sorted Large Span Random Weights,2,184803865
150,4,Increasingly Sorted Large Span Random Weights,3,184499888
150,4,Increasingly Sorted Large Span Random Weights,4,201974550
150,4,Increasingly Sorted Large Span Random Weights,5,179318080
150,4,Increasingly Sorted Large Span Random Weights,6,173902327
150,4,Increasingly Sorted Large Span Random Weights,7,198260232
150,4,Increasingly Sorted Large Span Random Weights,8,183056443
150,4,Increasingly Sorted Large Span Random Weights,9,195933198
150,4,Decreasingly Sorted Large Span Random Weights,0,107442412
150,4,Decreasingly Sorted Large Span Random Weights,1,108234760
150,4,Decreasingly Sorted Large Span Random Weights,2,98498923
150,4,Decreasingly Sorted Large Span Random Weights,3,93313379
150,4,Decreasingly Sorted Large Span Random Weights,4,109481369
150,4,Decreasingly Sorted Large Span Random Weights,5,92515974
150,4,Decreasingly Sorted Large Span Random Weights,6,81150945
150,4,Decreasingly Sorted Large Span Random Weights,7,104406449
150,4,Decreasingly Sorted Large Span Random Weights,8,91951707
150,4,Decreasingly Sorted Large Span Random Weights,9,100455636
