n,m,Generator,Seed,0
150,4,Small Random Weights,2,125182
150,4,Small Random Weights,3,102490
150,4,Small Random Weights,4,110825
150,4,Small Random Weights,5,97127
150,4,Small Random Weights,6,116113
150,4,Small Random Weights,7,108995
150,4,Small Random Weights,8,109796
150,4,Small Random Weights,9,115618
150,4,Small Span Large Weights,0,28986425
150,4,Small Span Large Weights,1,28987942
150,4,Small Span Large Weights,2,29007343
150,4,Small Span Large Weights,3,28983854
150,4,Small Span Large Weights,4,28993263
150,4,Small Span Large Weights,5,28979796
150,4,Small Span Large Weights,6,28998696
150,4,Small Span Large Weights,7,28992196
150,4,Small Span Large Weights,8,28991985
150,4,Small Span Large Weights,9,28998604
150,4,Large Span Large Weights,0,1091593321
150,4,Large Span Large Weights,1,1089678251
150,4,Large Span Large Weights,2,1147957900
150,4,Large Span Large Weights,3,1005354401
150,4,Large Span Large Weights,4,1102971298
150,4,Large Span Large Weights,5,1128663987
150,4,Large Span Large Weights,6,1025311316
150,4,Large Span Large Weights,7,1150155769
150,4,Large Span Large Weights,8,1122458653
150,4,Large Span Large Weights,9,1183514792
150,4,"Random Half Low, then Half High Weights",0,1041641
150,4,"Random Half Low, then Half High Weights",1,1046111
150,4,"Random Half Low, then Half High Weights",2,1067441
150,4,"Random Half Low, then Half High Weights",3,1052530
150,4,"Random Half Low, then Half High Weights",4,1077634
150,4,"Random Half Low, then Half High Weights",5,1034101
150,4,"Random Half Low, then Half High Weights",6,1058831
150,4,"Random Half Low, then Half High Weights",7,1059868
150,4,"Random Half Low, then Half High Weights",8,1068295
150,4,"Random Half Low, then Half High Weights",9,1055143
150,4,"Random Half High, then Half Low Weights",0,791248
150,4,"Random Half High, then Half Low Weights",1,790568
150,4,"Random Half High, then Half Low Weights",2,810394
150,4,"Random Half High, then Half Low Weights",3,784183
150,4,"Random Half High, then Half Low Weights",4,790551
150,4,"Random Half High, then Half Low Weights",5,785814
150,4,"Random Half High, then Half Low Weights",6,801230
150,4,"Random Half High, then Half Low Weights",7,791751
150,4,"Random Half High, then Half Low Weights",8,792673
150,4,"Random Half High, then Half Low Weights",9,803519
150,4,Increasingly Sorted Large Span Random Weights,0,158418565
150,4,Increasingly Sorted Large Span Random Weights,1,160044848
150,4,Increasingly Sorted Large Span Random Weights,2,144224666
150,4,Increasingly Sorted Large Span Random Weights,3,140706647
150,4,Increasingly Sorted Large Span Random Weights,4,158635316
150,4,Increasingly Sorted Large Span Random Weights,5,138950408
150,4,Increasingly Sorted Large Span Random Weights,6,128240041
150,4,Increasingly Sorted Large Span Random Weights,7,153895706
150,4,Increasingly Sorted Large Span Random Weights,8,139568484
150,4,Increasingly Sorted Large Span Random Weights,9,150242495
150,4,Decreasingly Sorted Large Span Random Weights,0,107442412
150,4,Decreasingly Sorted Large Span Random Weights,1,108234744
150,4,Decreasingly Sorted Large Span Random Weights,2,98498923
150,4,Decreasingly Sorted Large Span Random Weights,3,93313379
150,4,Decreasingly Sorted Large Span Random Weights,4,109481369
150,4,Decreasingly Sorted Large Span Random Weights,5,92515486
150,4,Decreasingly Sorted Large Span Random Weights,6,81150945
150,4,Decreasingly Sorted Large Span Random Weights,7,104406449
150,4,Decreasingly Sorted Large Span Random Weights,8,91951248
150,4,Decreasingly Sorted Large Span Random Weights,9,100455636
